x y
0 21.9
0.000338983 21.8875
0.000677966 21.8712
0.00101695 21.8512
0.00135593 21.8276
0.00169492 21.8002
0.0020339 21.7693
0.00237288 21.7348
0.00271186 21.6968
0.00305085 21.6554
0.00338983 21.6106
0.00372881 21.5626
0.0040678 21.5113
0.00440678 21.457
0.00474576 21.3996
0.00508475 21.3394
0.00542373 21.2764
0.00576271 21.2108
0.00610169 21.1427
0.00644068 21.0722
0.00677966 20.9995
0.00711864 20.9246
0.00745763 20.8478
0.00779661 20.7692
0.00813559 20.6889
0.00847458 20.6071
0.00881356 20.5239
0.00915254 20.4394
0.00949153 20.3539
0.00983051 20.2674
0.0101695 20.1802
0.0105085 20.0923
0.0108475 20.0039
0.0111864 19.9152
0.0115254 19.8262
0.0118644 19.7371
0.0122034 19.6481
0.0125424 19.5593
0.0128814 19.4708
0.0132203 19.3826
0.0135593 19.295
0.0138983 19.2081
0.0142373 19.1219
0.0145763 19.0365
0.0149153 18.9521
0.0152542 18.8686
0.0155932 18.7863
0.0159322 18.7052
0.0162712 18.6253
0.0166102 18.5468
0.0169492 18.4696
0.0172881 18.3938
0.0176271 18.3195
0.0179661 18.2468
0.0183051 18.1756
0.0186441 18.106
0.0189831 18.038
0.019322 17.9716
0.019661 17.9069
0.02 17.8439
0.0387421 16.2478
0.0574843 15.6943
0.0762264 15.1812
0.0949686 14.6879
0.113711 14.2137
0.132453 13.7577
0.151195 13.3194
0.169937 12.898
0.188679 12.4928
0.207421 12.1033
0.226164 11.7288
0.244906 11.3688
0.263648 11.0226
0.28239 10.6898
0.301132 10.3699
0.319874 10.0623
0.338616 9.7666
0.357358 9.48229
0.376101 9.20896
0.394843 8.94617
0.413585 8.69353
0.432327 8.45064
0.451069 8.21712
0.469811 7.99261
0.488553 7.77677
0.507296 7.56926
0.526038 7.36976
0.54478 7.17795
0.563522 6.99355
0.582264 6.81627
0.601006 6.64583
0.619748 6.48197
0.638491 6.32443
0.657233 6.17297
0.675975 6.02735
0.694717 5.88736
0.713459 5.75277
0.732201 5.62337
0.750943 5.49897
0.769686 5.37937
0.788428 5.26438
0.80717 5.15383
0.825912 5.04755
0.844654 4.94537
0.863396 4.84714
0.882138 4.75269
0.900881 4.66189
0.919623 4.5746
0.938365 4.49067
0.957107 4.40998
0.975849 4.33241
0.994591 4.25783
1.01333 4.18613
1.03208 4.11719
1.05082 4.05092
1.06956 3.98721
1.0883 3.92595
1.10704 3.86706
1.12579 3.81044
1.14453 3.756
1.16327 3.70367
1.18201 3.65335
1.20075 3.60498
1.2195 3.55848
1.23824 3.51377
1.25698 3.47078
1.27572 3.42946
1.29447 3.38973
1.31321 3.35153
1.33195 3.31481
1.35069 3.2795
1.36943 3.24556
1.38818 3.21292
1.40692 3.18155
1.42566 3.15139
1.4444 3.12239
1.46314 3.09451
1.48189 3.0677
1.50063 3.04193
1.51937 3.01716
1.53811 2.99334
1.55686 2.97044
1.5756 2.94843
1.59434 2.92726
1.61308 2.90691
1.63182 2.88735
1.65057 2.86854
1.66931 2.85046
1.68805 2.83307
1.70679 2.81636
1.72553 2.80029
1.74428 2.78484
1.76302 2.76999
1.78176 2.75571
1.8005 2.74198
1.81925 2.72878
1.83799 2.71609
1.85673 2.70389
1.87547 2.69216
1.89421 2.68089
1.91296 2.67005
1.9317 2.65963
1.95044 2.64961
1.96918 2.63997
1.98792 2.63071
2.00667 2.62181
2.02541 2.61325
2.04415 2.60502
2.06289 2.5971
2.08164 2.5895
2.10038 2.58218
2.11912 2.57515
2.13786 2.56839
2.1566 2.56189
2.17535 2.55565
2.19409 2.54964
2.21283 2.54386
2.23157 2.53831
2.25031 2.53297
2.26906 2.52784
2.2878 2.52291
2.30654 2.51816
2.32528 2.5136
2.34403 2.50922
2.36277 2.505
2.38151 2.50095
2.40025 2.49705
2.41899 2.49331
2.43774 2.48971
2.45648 2.48625
2.47522 2.48292
2.49396 2.47972
2.5127 2.47664
2.53145 2.47368
2.55019 2.47084
2.56893 2.46811
2.58767 2.46548
2.60642 2.46295
2.62516 2.46052
2.6439 2.45818
2.66264 2.45594
2.68138 2.45378
2.70013 2.4517
2.71887 2.44971
2.73761 2.44779
2.75635 2.44595
2.77509 2.44417
2.79384 2.44247
2.81258 2.44083
2.83132 2.43925
2.85006 2.43774
2.86881 2.43628
2.88755 2.43488
2.90629 2.43354
2.92503 2.43224
2.94377 2.431
2.96252 2.4298
2.98126 2.42865
3 2.42754
