x y
0 23.9
0.000338983 23.8899
0.000677966 23.8683
0.00101695 23.8355
0.00135593 23.7915
0.00169492 23.7364
0.0020339 23.6704
0.00237288 23.5938
0.00271186 23.5069
0.00305085 23.4099
0.00338983 23.3032
0.00372881 23.1871
0.0040678 23.0621
0.00440678 22.9286
0.00474576 22.7871
0.00508475 22.6379
0.00542373 22.4818
0.00576271 22.319
0.00610169 22.1503
0.00644068 21.9761
0.00677966 21.7969
0.00711864 21.6134
0.00745763 21.4261
0.00779661 21.2356
0.00813559 21.0423
0.00847458 20.8469
0.00881356 20.65
0.00915254 20.4519
0.00949153 20.2533
0.00983051 20.0547
0.0101695 19.8565
0.0105085 19.6592
0.0108475 19.4632
0.0111864 19.2691
0.0115254 19.0771
0.0118644 18.8876
0.0122034 18.701
0.0125424 18.5177
0.0128814 18.3379
0.0132203 18.1618
0.0135593 17.9898
0.0138983 17.822
0.0142373 17.6587
0.0145763 17.5
0.0149153 17.346
0.0152542 17.1969
0.0155932 17.0528
0.0159322 16.9136
0.0162712 16.7795
0.0166102 16.6505
0.0169492 16.5266
0.0172881 16.4078
0.0176271 16.294
0.0179661 16.1852
0.0183051 16.0813
0.0186441 15.9822
0.0189831 15.8879
0.019322 15.7983
0.019661 15.7132
0.02 15.6325
0.0387421 14.404
0.0574843 14.1678
0.0762264 13.9385
0.0949686 13.7137
0.113711 13.4932
0.132453 13.277
0.151195 13.0651
0.169937 12.8572
0.188679 12.6535
0.207421 12.4537
0.226164 12.2577
0.244906 12.0656
0.263648 11.8773
0.28239 11.6926
0.301132 11.5115
0.319874 11.334
0.338616 11.1599
0.357358 10.9892
0.376101 10.8218
0.394843 10.6577
0.413585 10.4968
0.432327 10.339
0.451069 10.1843
0.469811 10.0326
0.488553 9.88385
0.507296 9.73801
0.526038 9.59502
0.54478 9.45481
0.563522 9.31733
0.582264 9.18254
0.601006 9.05037
0.619748 8.92077
0.638491 8.7937
0.657233 8.66911
0.675975 8.54694
0.694717 8.42716
0.713459 8.30971
0.732201 8.19455
0.750943 8.08163
0.769686 7.97091
0.788428 7.86235
0.80717 7.75591
0.825912 7.65154
0.844654 7.5492
0.863396 7.44886
0.882138 7.35047
0.900881 7.254
0.919623 7.15942
0.938365 7.06667
0.957107 6.97573
0.975849 6.88656
0.994591 6.79913
1.01333 6.71341
1.03208 6.62935
1.05082 6.54694
1.06956 6.46613
1.0883 6.38689
1.10704 6.3092
1.12579 6.23302
1.14453 6.15833
1.16327 6.08509
1.18201 6.01328
1.20075 5.94287
1.2195 5.87383
1.23824 5.80613
1.25698 5.73976
1.27572 5.67468
1.29447 5.61086
1.31321 5.54829
1.33195 5.48694
1.35069 5.42679
1.36943 5.36781
1.38818 5.30997
1.40692 5.25327
1.42566 5.19767
1.4444 5.14315
1.46314 5.08969
1.48189 5.03728
1.50063 4.98589
1.51937 4.9355
1.53811 4.88609
1.55686 4.83764
1.5756 4.79014
1.59434 4.74356
1.61308 4.69789
1.63182 4.65311
1.65057 4.60921
1.66931 4.56616
1.68805 4.52395
1.70679 4.48256
1.72553 4.44197
1.74428 4.40218
1.76302 4.36317
1.78176 4.32491
1.8005 4.2874
1.81925 4.25062
1.83799 4.21456
1.85673 4.1792
1.87547 4.14453
1.89421 4.11053
1.91296 4.0772
1.9317 4.04452
1.95044 4.01247
1.96918 3.98105
1.98792 3.95024
2.00667 3.92003
2.02541 3.89041
2.04415 3.86136
2.06289 3.83289
2.08164 3.80496
2.10038 3.77759
2.11912 3.75074
2.13786 3.72442
2.1566 3.69861
2.17535 3.6733
2.19409 3.64849
2.21283 3.62416
2.23157 3.60031
2.25031 3.57692
2.26906 3.55398
2.2878 3.5315
2.30654 3.50945
2.32528 3.48783
2.34403 3.46663
2.36277 3.44584
2.38151 3.42546
2.40025 3.40548
2.41899 3.38589
2.43774 3.36667
2.45648 3.34784
2.47522 3.32937
2.49396 3.31126
2.5127 3.2935
2.53145 3.27609
2.55019 3.25901
2.56893 3.24228
2.58767 3.22586
2.60642 3.20977
2.62516 3.19399
2.6439 3.17852
2.66264 3.16335
2.68138 3.14847
2.70013 3.13388
2.71887 3.11958
2.73761 3.10556
2.75635 3.09181
2.77509 3.07833
2.79384 3.06511
2.81258 3.05215
2.83132 3.03944
2.85006 3.02698
2.86881 3.01476
2.88755 3.00278
2.90629 2.99104
2.92503 2.97952
2.94377 2.96823
2.96252 2.95715
2.98126 2.9463
3 2.93565
